"","X","Race","Position","Oral","Written","Combine"
"1",1,"W","Captain",89.52,95,92.808
"2",2,"W","Captain",80,95,89
"3",3,"W","Captain",82.38,87,85.152
"4",4,"W","Captain",88.57,76,81.028
"5",5,"W","Captain",76.19,84,80.876
"6",6,"H","Captain",76.19,82,79.676
"7",7,"W","Captain",76.19,82,79.676
"8",8,"H","Captain",70,84,78.4
"9",9,"W","Captain",73.81,81,78.124
"10",10,"W","Captain",84.29,72,76.916
"11",11,"W","Captain",87.62,69,76.448
"12",12,"W","Captain",80,74,76.4
"13",13,"H","Captain",79.05,74,76.02
"14",14,"W","Captain",73.81,77,75.724
"15",15,"W","Captain",76.67,74,75.068
"16",16,"B","Captain",82.38,70,74.952
"17",17,"W","Captain",73.33,74,73.732
"18",18,"W","Captain",70,76,73.6
"19",19,"B","Captain",68.57,74,71.828
"20",20,"W","Captain",82.38,64,71.352
"21",21,"W","Captain",56.67,81,71.268
"22",22,"B","Captain",70.95,70,70.38
"23",23,"W","Captain",62.38,75,69.952
"24",24,"W","Captain",78.57,64,69.828
"25",25,"W","Captain",71.43,68,69.372
"26",26,"W","Captain",71.43,68,69.372
"27",27,"W","Captain",59.05,76,69.22
"28",28,"H","Captain",60.48,75,69.192
"29",29,"W","Captain",57.14,75,67.856
"30",30,"B","Captain",52.38,77,67.152
"31",31,"H","Captain",67.14,65,65.856
"32",32,"W","Captain",55.24,68,62.896
"33",33,"H","Captain",58.57,65,62.428
"34",34,"W","Captain",48.57,69,60.828
"35",35,"B","Captain",67.62,56,60.648
"36",36,"H","Captain",57.14,61,59.456
"37",37,"B","Captain",70.48,50,58.192
"38",38,"H","Captain",42.86,67,57.344
"39",39,"W","Captain",53.81,58,56.324
"40",40,"B","Captain",60,53,55.8
"41",41,"B","Captain",54.76,49,51.304
