,car_age,car_age_category,car_brand,car_city,car_country,car_fuel,car_id,car_mileage,car_model,car_price
0,14,Old,Ford,Astrakhan,USA,gasoline,0,300.0k,Focus,550.0k
3,2,New,Toyota,Astrakhan,JP,gasoline,3,30.0k,Camry,4200.0k
10,3,New,Hyundai,Astrakhan,KR,diesel,10,8.3k,Tucson,3490.0k
41,25,Old,Mitsubishi,Astrakhan,JP,gasoline,41,172.5k,Delica,1750.0k
46,5,Middle,Haval,Astrakhan,CN,gasoline,46,105.0k,H6,1790.0k
50,17,Old,Toyota,Astrakhan,JP,gasoline,50,251.0k,Yaris,730.0k
60,9,Middle,Hyundai,Astrakhan,KR,gasoline,60,83.0k,ix35,1200.0k
62,11,Old,Ford,Astrakhan,USA,gasoline,62,146.0k,Kuga,1350.0k
76,16,Old,Hyundai,Astrakhan,KR,gasoline,76,205.0k,Accent,550.0k
84,14,Old,Skoda,Astrakhan,CZ,gasoline,84,187.0k,Fabia,695.0k
88,14,Old,Toyota,Astrakhan,JP,gasoline,88,178.0k,RAV4,1560.0k
96,19,Old,Nissan,Astrakhan,JP,gasoline,96,190.0k,X-Trail,1000.0k
101,2,New,GAZ,Tomsk,RUS,gasoline,101,34.0k,2217,2200.0k
103,10,Old,Chery,Astrakhan,CN,gasoline,103,158.0k,Tiggo T11,740.0k
113,16,Old,Mazda,Astrakhan,JP,gasoline,113,146.8k,CX-7,902.9k
114,1,New,Geely,Astrakhan,CN,gasoline,114,192,Coolray,2250.0k
116,36,Old,BMW,Astrakhan,DE,gasoline,116,300.0k,3-Series,250.0k
122,13,Old,Citroen,Astrakhan,FR,gasoline,122,161.0k,C3 Picasso,750.0k
128,2,New,GAZ,Chita,RUS,gasoline,128,23.3k,2217,1690.0k
138,8,Middle,Kia,Astrakhan,KR,gasoline,138,102.0k,Soul,1400.0k
144,13,Old,Nissan,Astrakhan,JP,gasoline,144,220.0k,Tiida,935.0k
149,30,Old,Honda,Astrakhan,JP,gasoline,149,50.0k,Accord,100.0k
152,38,Old,GAZ,Rostov-on-Don,RUS,gasoline,152,8.0k,24 Volga,250.0k
154,20,Old,Toyota,Astrakhan,JP,diesel,154,470.0k,Land Cruiser,2000.0k
158,8,Middle,Volkswagen,Astrakhan,DE,gasoline,158,182.0k,Passat,1449.0k
166,50,Old,GAZ,Rostov-on-Don,RUS,gasoline,166,83.0k,24 Volga,100.0k
183,10,Old,Lifan,Astrakhan,CN,gasoline,183,131.0k,X60,740.0k
190,38,Old,Volkswagen,Astrakhan,DE,diesel,190,200.0k,Transporter,500.0k
199,7,Middle,Hyundai,Astrakhan,KR,gasoline,199,99.4k,Sonata,1950.0k
209,22,Old,Honda,Astrakhan,JP,gasoline,209,250.0k,Civic Ferio,250.0k
212,11,Old,Hyundai,Astrakhan,KR,gasoline,212,170.0k,Solaris,810.0k
266,4,Middle,Lexus,Astrakhan,JP,gasoline,266,75.0k,RX300,5850.0k
267,3,New,Volkswagen,Astrakhan,DE,gasoline,267,49.0k,Polo,1890.0k
270,2,New,Kia,Astrakhan,KR,gasoline,270,28.0k,Soul,2300.0k
273,6,Middle,Hyundai,Astrakhan,KR,gasoline,273,91.8k,Solaris,1600.0k
278,18,Old,Kia,Astrakhan,KR,gasoline,278,293.0k,Spectra,340.0k
298,15,Old,Mazda,Astrakhan,JP,gasoline,298,184.9k,Mazda3,980.0k
324,13,Old,Chevrolet,Astrakhan,USA,gasoline,324,121.0k,Cruze,865.0k
331,27,Old,Mitsubishi,Astrakhan,JP,gasoline,331,298.0k,Mirage,450.0k
332,12,Old,Hyundai,Astrakhan,KR,gasoline,332,78.0k,Veloster,950.0k
338,17,Old,Mercedes-Benz,Astrakhan,DE,diesel,338,262.0k,E-Class,995.0k
340,11,Old,Mercedes-Benz,Astrakhan,DE,gasoline,340,137.0k,A-Class,1350.0k
353,26,Old,GAZ,Astrakhan,RUS,gasoline,353,81.2k,3110 Volga,180.0k
355,5,Middle,Kia,Astrakhan,KR,gasoline,355,133.3k,Ceed,1541.9k
358,14,Old,Mercedes-Benz,Astrakhan,DE,gasoline,358,163.0k,M-Class,2450.0k
375,8,Middle,Kia,Astrakhan,KR,gasoline,375,103.2k,Rio,1125.0k
