,age,capital-gain,capital-loss,education-num,education_10th,education_11th,education_12th,education_1st-4th,education_5th-6th,education_7th-8th,education_9th,education_Assoc-acdm,education_Assoc-voc,education_Bachelors,education_Doctorate,education_HS-grad,education_Masters,education_Preschool,education_Prof-school,education_Some-college,hw,label,marital-status,native-country,occupation,race,relationship,sex,workclass
9,42,5178,0,13,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,40,1,Married-civ-spouse,United-States,Exec-managerial,White,Husband,1,Private
38,31,0,0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,38,1,Married-civ-spouse,0,Sales,White,Husband,1,Private
48,41,0,0,11,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,40,0,Married-civ-spouse,United-States,Craft-repair,White,Husband,1,State-gov
62,48,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,40,0,Married-civ-spouse,United-States,Transport-moving,White,Husband,1,Private
72,29,0,0,13,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,70,1,Married-civ-spouse,United-States,Sales,White,Husband,1,Self-emp-not-inc
75,27,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,40,0,Never-married,Mexico,Other-service,White,Own-child,1,Private
80,18,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,30,0,Never-married,United-States,Sales,White,Not-in-family,1,Private
107,30,0,0,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,40,0,Never-married,United-States,Handlers-cleaners,White,Own-child,1,Private
108,31,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,40,0,Never-married,United-States,Adm-clerical,White,Not-in-family,0,Local-gov
118,55,0,0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,56,0,Married-civ-spouse,United-States,Sales,White,Husband,1,Private
122,30,0,0,13,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,40,0,Never-married,Germany,Exec-managerial,Black,Own-child,1,Private
123,29,0,0,13,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,50,1,Married-civ-spouse,United-States,Prof-specialty,White,Husband,1,State-gov
128,35,0,0,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,40,0,Married-civ-spouse,United-States,0,White,Husband,1,0
146,22,0,0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,24,0,Married-civ-spouse,United-States,Other-service,White,Husband,1,Private
