,age,c_charge_degree,days_b_screening_arrest,jailtime,label,priors_count,race,sex
8,39,0,-1.0,2,1,0,1,Female
31,30,1,0.0,44,0,9,1,Male
41,51,0,-1.0,1,1,2,0,Male
49,29,1,0.0,0,1,0,0,Male
51,28,1,-1.0,0,1,0,0,Female
55,24,1,-1.0,1,0,2,0,Male
84,25,1,-1.0,7,0,14,0,Male
88,35,0,-1.0,0,1,1,0,Female
89,36,1,0.0,3,0,9,0,Male
94,20,1,-1.0,0,1,0,1,Female
98,44,0,-2.0,1,1,0,0,Female
101,30,1,-1.0,0,1,1,0,Male
106,39,1,-1.0,106,1,1,1,Female
108,43,1,-30.0,1,1,1,1,Male
115,41,1,0.0,176,0,10,0,Male
129,30,0,-20.0,3,1,1,1,Male
152,61,1,-1.0,0,0,1,0,Female
168,25,0,-1.0,1,0,1,0,Male
181,24,1,-1.0,1,1,0,0,Male
191,32,1,289.0,97,0,13,0,Male
208,43,1,49.0,121,0,11,1,Male
221,36,0,-1.0,1,0,1,0,Male
225,41,0,0.0,0,1,5,0,Female
254,30,1,-140.0,62,1,4,1,Male
273,48,1,-1.0,1,1,0,0,Female
293,26,0,-1.0,1,0,1,0,Male
303,33,0,-93.0,0,0,1,1,Male
309,27,0,300.0,0,0,4,0,Male
316,28,0,-1.0,0,0,3,1,Male
320,20,1,-1.0,0,0,0,0,Male
334,23,0,0.0,0,1,1,0,Female
342,30,0,0.0,3,1,0,1,Female
345,25,1,-86.0,1,1,2,0,Female
348,47,1,0.0,0,1,3,0,Male
360,49,1,0.0,3,1,3,0,Male
361,29,0,-1.0,50,1,2,0,Male
364,23,1,0.0,0,0,3,0,Male
399,29,1,-1.0,1,1,2,0,Male
405,27,1,-1.0,52,0,9,0,Male
417,22,1,-1.0,1,1,0,1,Male
456,26,0,-1.0,13,0,1,0,Male
460,34,1,-152.0,97,0,4,0,Female
479,34,1,-1.0,1,0,4,1,Male
493,29,0,0.0,1,0,0,1,Male
498,22,1,49.0,18,0,2,0,Female
