,age,checking__check_high,checking__check_low,checking__check_mid,checking__check_none,credit_amount,credit_history__debt_critical,credit_history__debt_delay,credit_history__debt_none,credit_history__debt_noneBank,credit_history__debt_onSchedule,dependants,duration,employment__emp_lessFour,employment__emp_lessOne,employment__emp_lessSeven,employment__emp_moreSeven,employment__emp_unemployed,foreigner,housing__hous_free,housing__hous_own,housing__hous_rent,inst_rate,job__job_highSkill,job__job_skilled,job__job_unskilledNR,job__job_unskilledR,label,num_credits,other_debtors__debtor_coApp,other_debtors__debtor_guarantor,other_debtors__debtor_none,other_inst__oi_bank,other_inst__oi_none,other_inst__oi_stores,phone,property__prop_agreement,property__prop_car,property__prop_none,property__prop_realEstate,purpose__pur_appliance,purpose__pur_business,purpose__pur_education,purpose__pur_furniture,purpose__pur_newCar,purpose__pur_other,purpose__pur_repairs,purpose__pur_retraining,purpose__pur_tv,purpose__pur_usedCar,residence_time,savings__sav_large,savings__sav_medium,savings__sav_none,savings__sav_small,savings__sav_xlarge,status
5,35,False,False,False,True,9055,False,False,False,False,True,2,36,True,False,False,False,False,1,True,False,False,2,False,False,False,True,1,1,False,False,True,False,True,False,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,4,False,False,True,False,False,single
23,44,False,False,True,False,1804,True,False,False,False,False,1,12,False,True,False,False,False,1,False,True,False,3,False,True,False,False,1,1,False,False,True,False,True,False,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,4,False,True,False,False,False,single
25,36,False,True,False,False,1374,False,False,False,False,True,1,6,True,False,False,False,False,1,False,True,False,1,False,False,False,True,1,1,False,False,True,True,False,False,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False,2,False,False,False,True,False,single
28,34,False,False,True,False,2415,False,False,False,False,True,1,7,True,False,False,False,False,1,False,True,False,3,False,True,False,False,1,1,False,True,False,False,True,False,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,2,False,False,False,True,False,single
29,63,False,True,False,False,6836,False,True,False,False,False,1,60,False,False,False,True,False,1,False,True,False,3,False,True,False,False,0,2,False,False,True,False,True,False,1,False,False,True,False,False,True,False,False,False,False,False,False,False,False,4,False,False,False,True,False,single
40,30,False,False,False,True,2333,False,False,False,False,True,1,30,False,False,False,True,False,1,False,True,False,4,True,False,False,False,1,1,False,False,True,True,False,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,2,True,False,False,False,False,single
41,26,False,False,True,False,1158,False,False,False,False,True,1,12,True,False,False,False,False,1,False,True,False,3,False,True,False,False,1,1,False,False,True,False,True,False,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,1,True,False,False,False,False,divorced
55,26,False,False,False,True,783,False,False,False,True,False,2,6,True,False,False,False,False,1,False,True,False,1,False,False,False,True,1,1,False,True,False,False,False,True,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,2,False,False,True,False,False,single
81,47,False,False,False,True,1213,False,False,False,False,True,1,15,False,False,False,True,False,1,False,True,False,4,False,True,False,False,1,1,False,False,True,False,False,True,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False,3,True,False,False,False,False,single
82,24,False,False,False,True,1568,False,False,False,False,True,1,18,True,False,False,False,False,1,False,False,True,3,False,False,False,True,1,1,False,False,True,False,True,False,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,4,False,True,False,False,False,divorced
