,cluster,households,housing_median_age,latitude,longitude,median_house_value,median_income,ocean_proximity,population,total_bedrooms,total_rooms
7,0,532.0,32.0,33.78,-117.95,188500.0,3.7303,<1H OCEAN,1376.0,560.0,2296.0
11,0,422.0,52.0,34.16,-118.12,241900.0,5.0237,<1H OCEAN,1211.0,437.0,2218.0
17,0,191.0,30.0,33.96,-118.24,105100.0,1.9041,<1H OCEAN,912.0,221.0,859.0
41,2,142.0,37.0,36.67,-121.7,252600.0,3.3456,<1H OCEAN,458.0,129.0,641.0
67,0,544.0,27.0,33.99,-118.12,176800.0,2.8155,<1H OCEAN,2012.0,559.0,2316.0
72,2,360.0,36.0,37.33,-121.94,257600.0,3.6818,<1H OCEAN,797.0,359.0,1893.0
151,0,363.0,36.0,33.94,-118.15,242400.0,4.2594,<1H OCEAN,992.0,341.0,1948.0
166,2,168.0,36.0,36.63,-121.92,339100.0,3.4167,<1H OCEAN,349.0,175.0,877.0
175,0,670.0,14.0,33.92,-117.87,303000.0,6.3303,<1H OCEAN,1905.0,669.0,4039.0
223,0,1121.0,19.0,33.97,-118.36,142500.0,2.6823,<1H OCEAN,2917.0,1281.0,4651.0
225,0,517.0,34.0,34.19,-118.56,235100.0,4.433,<1H OCEAN,1237.0,561.0,2579.0
283,2,1316.0,14.0,37.37,-121.88,333700.0,3.5745,<1H OCEAN,3258.0,1404.0,6016.0
328,0,358.0,36.0,33.92,-118.16,218900.0,4.4881,<1H OCEAN,1134.0,351.0,2062.0
358,0,512.0,37.0,33.91,-118.27,124100.0,2.7269,<1H OCEAN,1720.0,547.0,3018.0
375,0,494.0,27.0,34.01,-117.9,141400.0,3.9702,<1H OCEAN,2079.0,472.0,2383.0
432,0,199.0,5.0,33.99,-118.23,165000.0,4.5208,<1H OCEAN,839.0,203.0,706.0
462,0,279.0,27.0,34.03,-118.29,119600.0,2.135,<1H OCEAN,1085.0,287.0,1084.0
478,2,861.0,33.0,37.31,-122.0,242200.0,4.7235,<1H OCEAN,2389.0,918.0,4211.0
480,2,173.0,19.0,36.6,-121.89,500000.0,1.2656,<1H OCEAN,248.0,200.0,656.0
498,2,613.0,26.0,37.52,-121.97,232600.0,4.5317,<1H OCEAN,1776.0,623.0,3761.0
502,0,426.0,19.0,33.76,-117.77,500001.0,11.0124,<1H OCEAN,1200.0,402.0,3532.0
520,0,967.0,26.0,33.78,-117.91,184000.0,3.045,<1H OCEAN,3596.0,1037.0,4297.0
580,0,633.0,32.0,34.19,-118.53,192300.0,2.625,<1H OCEAN,1961.0,692.0,2618.0
653,0,988.0,21.0,33.89,-117.99,160500.0,4.5033,<1H OCEAN,2539.0,1020.0,5195.0
654,0,526.0,15.0,33.89,-117.97,367400.0,9.0683,<1H OCEAN,1992.0,542.0,3801.0
674,0,746.0,35.0,34.18,-118.37,177300.0,2.9228,<1H OCEAN,2106.0,794.0,2949.0
701,0,583.0,41.0,34.12,-118.19,146400.0,2.3071,<1H OCEAN,2366.0,682.0,2591.0
720,2,2375.0,6.0,36.69,-121.66,168900.0,3.7912,<1H OCEAN,7249.0,2485.0,10613.0
730,0,932.0,20.0,34.06,-118.43,500001.0,5.1999,<1H OCEAN,1675.0,1018.0,4600.0
744,1,161.0,26.0,39.23,-123.2,105400.0,2.3583,<1H OCEAN,494.0,168.0,786.0
748,0,97.0,27.0,33.85,-118.28,180800.0,5.144,<1H OCEAN,403.0,98.0,489.0
760,0,399.0,37.0,33.72,-117.86,150600.0,3.413,<1H OCEAN,2089.0,428.0,1429.0
827,0,441.0,38.0,34.16,-118.15,146600.0,2.2765,<1H OCEAN,1661.0,529.0,2471.0
849,0,294.0,29.0,33.87,-117.98,158700.0,3.8068,<1H OCEAN,937.0,332.0,1310.0
851,0,323.0,40.0,34.05,-118.29,143800.0,1.8571,<1H OCEAN,1426.0,349.0,907.0
858,2,542.0,30.0,37.27,-121.93,278100.0,5.1104,<1H OCEAN,1387.0,544.0,2862.0
870,2,769.0,15.0,38.5,-122.71,330900.0,6.6104,<1H OCEAN,2324.0,830.0,5645.0
873,0,541.0,18.0,33.83,-117.96,137500.0,3.1315,<1H OCEAN,870.0,770.0,2067.0
880,0,885.0,17.0,35.49,-120.66,171300.0,2.8285,<1H OCEAN,2307.0,945.0,4422.0
897,0,566.0,22.0,34.0,-117.98,324900.0,6.019,<1H OCEAN,1968.0,538.0,3632.0
917,1,257.0,50.0,38.56,-121.43,125900.0,2.5417,INLAND,532.0,288.0,1533.0
919,1,420.0,22.0,38.26,-121.31,88300.0,1.8846,INLAND,1005.0,396.0,1768.0
925,0,312.0,3.0,32.87,-115.6,83200.0,4.1293,INLAND,1005.0,317.0,1629.0
936,1,706.0,13.0,38.2,-120.57,122300.0,2.6417,INLAND,1796.0,847.0,4110.0
940,2,787.0,2.0,37.59,-120.98,145900.0,4.6484,INLAND,2784.0,834.0,5042.0
943,1,419.0,25.0,39.22,-121.09,116700.0,2.6042,INLAND,1045.0,439.0,2200.0
947,0,231.0,38.0,33.12,-115.52,60800.0,1.8793,INLAND,784.0,262.0,1327.0
950,1,658.0,25.0,39.23,-121.83,72500.0,2.4464,INLAND,1983.0,702.0,3819.0
1007,0,199.0,34.0,34.01,-117.41,92000.0,2.6442,INLAND,841.0,216.0,1231.0
1009,1,240.0,31.0,38.9,-121.28,93600.0,2.7656,INLAND,765.0,259.0,1297.0
1023,1,483.0,36.0,38.54,-121.47,52500.0,1.4138,INLAND,1845.0,510.0,2099.0
1048,1,616.0,11.0,38.73,-121.2,334800.0,7.7499,INLAND,1931.0,636.0,4897.0
1061,2,455.0,38.0,36.22,-119.34,78200.0,3.0905,INLAND,1260.0,460.0,2708.0
1072,2,246.0,15.0,36.82,-119.72,52500.0,2.2639,INLAND,550.0,239.0,946.0
1083,1,9.0,52.0,38.51,-121.47,80000.0,3.625,INLAND,74.0,4.0,20.0
1102,1,205.0,11.0,39.27,-121.23,162500.0,3.3603,INLAND,573.0,224.0,1265.0
1111,1,32.0,40.0,38.68,-121.38,93800.0,1.7596,INLAND,50.0,17.0,67.0
1127,1,190.0,16.0,39.09,-121.11,138800.0,2.3062,INLAND,508.0,197.0,1000.0
1131,1,333.0,30.0,40.02,-122.18,68200.0,2.25,INLAND,961.0,397.0,1952.0
1150,0,437.0,19.0,33.92,-116.77,63000.0,1.6875,INLAND,1266.0,525.0,2307.0
1157,2,551.0,46.0,36.75,-119.8,59000.0,1.5273,INLAND,1368.0,593.0,2625.0
1166,0,1308.0,11.0,34.86,-118.34,130000.0,2.8097,INLAND,3571.0,1482.0,7353.0
1167,1,190.0,36.0,38.8,-121.72,78400.0,1.9559,INLAND,567.0,228.0,1069.0
1169,0,1132.0,16.0,33.96,-116.51,61100.0,1.4665,INLAND,2518.0,1395.0,4913.0
1177,1,789.0,33.0,38.74,-121.28,134700.0,4.05,INLAND,1775.0,778.0,4384.0
1185,1,336.0,15.0,38.89,-120.03,118800.0,3.8333,INLAND,918.0,588.0,3042.0
1189,1,693.0,21.0,39.0,-121.04,174300.0,4.8051,INLAND,1874.0,730.0,4059.0
1196,1,847.0,36.0,38.52,-121.44,69700.0,1.6521,INLAND,2460.0,950.0,3446.0
1213,2,340.0,3.0,36.83,-119.67,111300.0,4.4356,INLAND,1003.0,336.0,2029.0
1228,1,420.0,26.0,40.59,-122.39,81300.0,1.2404,INLAND,1276.0,438.0,1279.0
1233,1,947.0,17.0,38.56,-121.36,138000.0,5.2881,INLAND,3064.0,938.0,6225.0
1243,1,387.0,34.0,38.55,-121.73,130800.0,2.7917,INLAND,1224.0,393.0,1717.0
1269,2,668.0,23.0,38.02,-121.32,104800.0,3.0729,INLAND,1890.0,689.0,3251.0
1272,1,249.0,43.0,38.75,-121.27,85300.0,2.7188,INLAND,647.0,307.0,1292.0
1289,1,568.0,17.0,38.66,-121.33,125400.0,2.5909,INLAND,1275.0,584.0,2767.0
1294,2,227.0,33.0,37.13,-120.26,58800.0,2.0278,INLAND,648.0,250.0,1239.0
1296,0,500.0,19.0,35.36,-118.94,76200.0,3.1281,INLAND,1823.0,512.0,2714.0
1303,0,667.0,32.0,34.13,-118.02,273600.0,3.9464,INLAND,1803.0,718.0,3308.0
1310,1,2138.0,12.0,38.55,-121.78,204300.0,2.9605,INLAND,5633.0,2186.0,10509.0
1323,1,419.0,52.0,40.41,-120.66,70200.0,2.2992,INLAND,1051.0,478.0,2081.0
1327,1,586.0,18.0,40.71,-122.32,105400.0,2.4036,INLAND,1399.0,578.0,2879.0
1330,1,190.0,19.0,38.24,-120.79,90400.0,2.9821,INLAND,538.0,235.0,1003.0
1335,1,953.0,17.0,38.42,-120.72,144100.0,3.0465,INLAND,2237.0,1085.0,5654.0
1346,0,467.0,33.0,33.98,-117.36,80700.0,2.4667,INLAND,1851.0,469.0,2070.0
1347,1,368.0,20.0,38.58,-121.35,320200.0,8.6572,INLAND,1105.0,378.0,2992.0
1353,1,850.0,29.0,38.51,-121.45,75900.0,2.2245,INLAND,2294.0,901.0,4221.0
1354,1,484.0,16.0,40.46,-122.45,105700.0,2.8085,INLAND,1413.0,501.0,2734.0
1375,1,529.0,16.0,38.69,-121.34,112700.0,3.7857,INLAND,1553.0,516.0,2686.0
1378,1,249.0,39.0,39.21,-122.01,75000.0,2.4559,INLAND,660.0,250.0,1214.0
1382,2,422.0,43.0,36.76,-119.77,54600.0,1.5174,INLAND,1492.0,413.0,1945.0
1391,1,158.0,28.0,38.69,-121.51,108600.0,2.1029,INLAND,450.0,149.0,800.0
1395,0,302.0,30.0,34.05,-117.74,94300.0,2.625,INLAND,1466.0,317.0,1185.0
1408,2,181.0,33.0,36.75,-119.83,55600.0,1.3929,INLAND,607.0,183.0,662.0
1443,1,1318.0,15.0,39.15,-121.07,143400.0,2.4726,INLAND,3002.0,1319.0,6828.0
1469,0,688.0,19.0,34.09,-117.63,126200.0,2.8977,INLAND,2818.0,816.0,3490.0
1476,1,577.0,22.0,39.1,-121.63,100100.0,4.174,INLAND,1757.0,548.0,3585.0
1483,1,311.0,28.0,40.2,-122.17,79100.0,3.3594,INLAND,873.0,334.0,1782.0
1485,1,812.0,6.0,38.53,-121.99,127300.0,3.4186,INLAND,2561.0,834.0,4598.0
1498,1,409.0,27.0,39.38,-121.74,85500.0,2.3243,INLAND,1100.0,435.0,2596.0
1502,0,690.0,29.0,34.09,-118.01,179200.0,3.6094,INLAND,2331.0,747.0,3402.0
1508,1,270.0,13.0,39.02,-121.08,209600.0,4.2031,INLAND,752.0,275.0,1839.0
1509,2,122.0,4.0,37.87,-121.97,500001.0,13.4883,INLAND,416.0,126.0,1029.0
1532,1,53.0,11.0,38.9,-120.3,95500.0,0.9227,INLAND,113.0,435.0,1961.0
1537,1,511.0,10.0,39.14,-121.03,164500.0,4.0775,INLAND,1275.0,524.0,3138.0
1552,1,124.0,26.0,40.48,-122.33,101600.0,3.2788,INLAND,319.0,126.0,695.0
1557,1,371.0,26.0,39.09,-122.83,94700.0,1.4679,INLAND,679.0,495.0,2191.0
1560,1,387.0,29.0,38.69,-121.37,87000.0,3.0833,INLAND,1124.0,380.0,2103.0
1562,1,456.0,34.0,38.62,-121.36,133000.0,3.058,INLAND,1077.0,503.0,2447.0
1568,1,1141.0,5.0,40.6,-122.33,111100.0,3.8103,INLAND,2965.0,1206.0,6383.0
1581,2,289.0,34.0,37.96,-122.07,197100.0,5.0172,NEAR BAY,836.0,290.0,1692.0
1582,2,366.0,44.0,37.94,-122.08,232100.0,4.725,NEAR BAY,943.0,357.0,2185.0
1596,2,219.0,49.0,37.79,-122.23,106300.0,2.293,NEAR BAY,859.0,217.0,1175.0
1607,2,644.0,43.0,37.8,-122.25,151800.0,1.6504,NEAR BAY,1710.0,647.0,2344.0
1618,2,1034.0,52.0,37.8,-122.42,458300.0,2.0987,NEAR BAY,1576.0,1115.0,3321.0
1619,2,703.0,25.0,37.54,-122.05,223100.0,5.2882,NEAR BAY,2568.0,731.0,4209.0
1626,2,553.0,35.0,37.43,-122.11,463700.0,7.313,NEAR BAY,1562.0,565.0,3905.0
1632,2,450.0,37.0,37.89,-122.25,350000.0,7.5385,NEAR BAY,987.0,457.0,3000.0
