,Age,Embarked_C,Embarked_Q,Embarked_S,Fare,Parch,PassengerId,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,SibSp,Survived
12,20.0,False,False,True,8.05,0,13,False,False,True,False,True,0,0
43,3.0,True,False,False,41.5792,2,44,False,True,False,True,False,1,1
53,29.0,False,False,True,26.0,0,54,False,True,False,True,False,1,1
56,21.0,False,False,True,10.5,0,57,False,True,False,True,False,0,1
60,22.0,True,False,False,7.2292,0,61,False,False,True,False,True,0,0
79,30.0,False,False,True,12.475,0,80,False,False,True,True,False,0,1
102,21.0,False,False,True,77.2875,1,103,True,False,False,False,True,0,0
130,33.0,True,False,False,7.8958,0,131,False,False,True,False,True,0,0
136,19.0,False,False,True,26.2833,2,137,True,False,False,True,False,0,1
139,24.0,True,False,False,79.2,0,140,True,False,False,False,True,0,0
144,18.0,False,False,True,11.5,0,145,False,True,False,False,True,0,0
150,51.0,False,False,True,12.525,0,151,False,True,False,False,True,0,0
151,22.0,False,False,True,66.6,0,152,True,False,False,True,False,1,1
156,16.0,False,True,False,7.7333,0,157,False,False,True,True,False,0,1
160,44.0,False,False,True,16.1,1,161,False,False,True,False,True,0,0
161,40.0,False,False,True,15.75,0,162,False,True,False,True,False,0,1
175,18.0,False,False,True,7.8542,1,176,False,False,True,False,True,1,0
239,33.0,False,False,True,12.275,0,240,False,True,False,False,True,0,0
248,37.0,False,False,True,52.5542,1,249,True,False,False,False,True,1,1
258,35.0,True,False,False,512.3292,0,259,True,False,False,True,False,0,1
268,58.0,False,False,True,153.4625,1,269,True,False,False,True,False,0,1
276,45.0,False,False,True,7.75,0,277,False,False,True,True,False,0,0
279,35.0,False,False,True,20.25,1,280,False,False,True,True,False,1,1
280,65.0,False,True,False,7.75,0,281,False,False,True,False,True,0,0
299,50.0,True,False,False,247.5208,1,300,True,False,False,True,False,0,1
307,17.0,True,False,False,108.9,0,308,True,False,False,True,False,1,1
321,27.0,False,False,True,7.8958,0,322,False,False,True,False,True,0,0
325,36.0,True,False,False,135.6333,0,326,True,False,False,True,False,0,1
332,38.0,False,False,True,153.4625,1,333,True,False,False,False,True,0,0
362,45.0,True,False,False,14.4542,1,363,False,False,True,True,False,0,0
372,19.0,False,False,True,8.05,0,373,False,False,True,False,True,0,0
401,26.0,False,False,True,8.05,0,402,False,False,True,False,True,0,0
405,34.0,False,False,True,21.0,0,406,False,True,False,False,True,1,0
430,28.0,False,False,True,26.55,0,431,True,False,False,False,True,0,1
476,34.0,False,False,True,21.0,0,477,False,True,False,False,True,1,0
487,58.0,True,False,False,29.7,0,488,True,False,False,False,True,0,0
496,54.0,True,False,False,78.2667,0,497,True,False,False,True,False,1,1
503,37.0,False,False,True,9.5875,0,504,False,False,True,True,False,0,0
512,36.0,False,False,True,26.2875,0,513,True,False,False,False,True,0,1
546,19.0,False,False,True,26.0,0,547,False,True,False,True,False,1,1
555,62.0,False,False,True,26.55,0,556,True,False,False,False,True,0,0
565,24.0,False,False,True,24.15,0,566,False,False,True,False,True,2,0
571,53.0,False,False,True,51.4792,0,572,True,False,False,True,False,2,1
605,36.0,False,False,True,15.55,0,606,False,False,True,False,True,1,0
615,24.0,False,False,True,65.0,2,616,False,True,False,True,False,1,1
617,26.0,False,False,True,16.1,0,618,False,False,True,True,False,1,0
635,28.0,False,False,True,13.0,0,636,False,True,False,True,False,0,1
651,18.0,False,False,True,23.0,1,652,False,True,False,True,False,0,1
658,23.0,False,False,True,13.0,0,659,False,True,False,False,True,0,0
661,40.0,True,False,False,7.225,0,662,False,False,True,False,True,0,0
665,32.0,False,False,True,73.5,0,666,False,True,False,False,True,2,0
678,43.0,False,False,True,46.9,6,679,False,False,True,True,False,1,0
679,36.0,True,False,False,512.3292,1,680,True,False,False,False,True,0,1
688,18.0,False,False,True,7.7958,0,689,False,False,True,False,True,0,0
702,18.0,True,False,False,14.4542,1,703,False,False,True,True,False,0,0
704,26.0,False,False,True,7.8542,0,705,False,False,True,False,True,1,0
712,48.0,False,False,True,52.0,0,713,True,False,False,False,True,1,1
742,21.0,True,False,False,262.375,2,743,True,False,False,True,False,2,1
754,48.0,False,False,True,65.0,2,755,False,True,False,True,False,1,1
758,34.0,False,False,True,8.05,0,759,False,False,True,False,True,0,0
779,43.0,False,False,True,211.3375,1,780,True,False,False,True,False,0,1
780,13.0,True,False,False,7.2292,0,781,False,False,True,True,False,0,1
784,25.0,False,False,True,7.05,0,785,False,False,True,False,True,0,0
801,31.0,False,False,True,26.25,1,802,False,True,False,True,False,1,1
802,11.0,False,False,True,120.0,2,803,True,False,False,False,True,1,1
835,39.0,True,False,False,83.1583,1,836,True,False,False,True,False,1,1
841,16.0,False,False,True,10.5,0,842,False,True,False,False,True,0,0
864,24.0,False,False,True,13.0,0,865,False,True,False,False,True,0,0
865,42.0,False,False,True,13.0,0,866,False,True,False,True,False,0,1
867,31.0,False,False,True,50.4958,0,868,True,False,False,False,True,0,0
869,4.0,False,False,True,11.1333,1,870,False,False,True,False,True,1,1
876,20.0,False,False,True,9.8458,0,877,False,False,True,False,True,0,0
877,19.0,False,False,True,7.8958,0,878,False,False,True,False,True,0,0
887,19.0,False,False,True,30.0,0,888,True,False,False,True,False,0,1
